logging_policy_name,n_rounds,trained_policy_true_value
pi_2,1000,0.496
pi_2,2000,0.492
pi_2,3000,0.5
pi_2,4000,0.499
pi_2,5000,0.5
pi_2,6000,0.5
pi_2,7000,0.5
pi_2,8000,0.5
pi_2,9000,0.5
pi_2,10000,0.5
pi_2,11000,0.5
pi_2,12000,0.5
pi_2,13000,0.5
pi_2,14000,0.5
pi_2,15000,0.5
pi_2,16000,0.5
pi_2,17000,0.5
pi_2,18000,0.5
pi_2,19000,0.5
pi_2,20000,0.5
pi_2,21000,0.5
pi_2,22000,0.5
pi_2,23000,0.5
pi_2,24000,0.5
pi_2,25000,0.5
pi_2,26000,0.5
pi_2,27000,0.5
pi_2,28000,0.5
pi_2,29000,0.5
pi_2,30000,0.5
pi_2,31000,0.5
pi_2,32000,0.5
pi_2,33000,0.5
pi_2,34000,0.5
pi_2,35000,0.5
pi_2,36000,0.5
pi_2,37000,0.5
pi_2,38000,0.5
pi_2,39000,0.5
pi_2,40000,0.5
pi_2,41000,0.5
pi_2,42000,0.5
pi_2,43000,0.5
pi_2,44000,0.5
pi_2,45000,0.5
pi_2,46000,0.5
pi_2,47000,0.5
pi_2,48000,0.5
pi_2,49000,0.5
pi_3,1000,0.576
pi_3,2000,0.64
pi_3,3000,0.603
pi_3,4000,0.632
pi_3,5000,0.607
pi_3,6000,0.617
pi_3,7000,0.635
pi_3,8000,0.642
pi_3,9000,0.7
pi_3,10000,0.656
pi_3,11000,0.673
pi_3,12000,0.689
pi_3,13000,0.729
pi_3,14000,0.681
pi_3,15000,0.701
pi_3,16000,0.686
pi_3,17000,0.712
pi_3,18000,0.729
pi_3,19000,0.729
pi_3,20000,0.736
pi_3,21000,0.727
pi_3,22000,0.728
pi_3,23000,0.71
pi_3,24000,0.734
pi_3,25000,0.745
pi_3,26000,0.739
pi_3,27000,0.745
pi_3,28000,0.745
pi_3,29000,0.731
pi_3,30000,0.747
pi_3,31000,0.744
pi_3,32000,0.739
pi_3,33000,0.735
pi_3,34000,0.746
pi_3,35000,0.741
pi_3,36000,0.739
pi_3,37000,0.741
pi_3,38000,0.738
pi_3,39000,0.747
pi_3,40000,0.746
pi_3,41000,0.745
pi_3,42000,0.746
pi_3,43000,0.739
pi_3,44000,0.743
pi_3,45000,0.743
pi_3,46000,0.744
pi_3,47000,0.743
pi_3,48000,0.739
pi_3,49000,0.739
pi_4,1000,0.533
pi_4,2000,0.531
pi_4,3000,0.523
pi_4,4000,0.52
pi_4,5000,0.519
pi_4,6000,0.52
pi_4,7000,0.517
pi_4,8000,0.517
pi_4,9000,0.519
pi_4,10000,0.517
pi_4,11000,0.515
pi_4,12000,0.515
pi_4,13000,0.515
pi_4,14000,0.516
pi_4,15000,0.516
pi_4,16000,0.515
pi_4,17000,0.513
pi_4,18000,0.514
pi_4,19000,0.514
pi_4,20000,0.514
pi_4,21000,0.514
pi_4,22000,0.513
pi_4,23000,0.514
pi_4,24000,0.514
pi_4,25000,0.514
pi_4,26000,0.514
pi_4,27000,0.513
pi_4,28000,0.514
pi_4,29000,0.513
pi_4,30000,0.513
pi_4,31000,0.513
pi_4,32000,0.512
pi_4,33000,0.513
pi_4,34000,0.512
pi_4,35000,0.513
pi_4,36000,0.512
pi_4,37000,0.512
pi_4,38000,0.512
pi_4,39000,0.512
pi_4,40000,0.512
pi_4,41000,0.512
pi_4,42000,0.512
pi_4,43000,0.513
pi_4,44000,0.512
pi_4,45000,0.512
pi_4,46000,0.512
pi_4,47000,0.512
pi_4,48000,0.512
pi_4,49000,0.512
pi_5,1000,0.576
pi_5,2000,0.615
pi_5,3000,0.62
pi_5,4000,0.643
pi_5,5000,0.632
pi_5,6000,0.646
pi_5,7000,0.656
pi_5,8000,0.658
pi_5,9000,0.664
pi_5,10000,0.658
pi_5,11000,0.675
pi_5,12000,0.659
pi_5,13000,0.724
pi_5,14000,0.687
pi_5,15000,0.715
pi_5,16000,0.695
pi_5,17000,0.71
pi_5,18000,0.707
pi_5,19000,0.723
pi_5,20000,0.72
pi_5,21000,0.74
pi_5,22000,0.726
pi_5,23000,0.713
pi_5,24000,0.725
pi_5,25000,0.741
pi_5,26000,0.732
pi_5,27000,0.732
pi_5,28000,0.737
pi_5,29000,0.734
pi_5,30000,0.742
pi_5,31000,0.728
pi_5,32000,0.732
pi_5,33000,0.731
pi_5,34000,0.748
pi_5,35000,0.741
pi_5,36000,0.74
pi_5,37000,0.739
pi_5,38000,0.743
pi_5,39000,0.746
pi_5,40000,0.736
pi_5,41000,0.738
pi_5,42000,0.744
pi_5,43000,0.738
pi_5,44000,0.744
pi_5,45000,0.737
pi_5,46000,0.746
pi_5,47000,0.736
pi_5,48000,0.738
pi_5,49000,0.742
